date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:23:46	11128/11128	---MC-	200	added ('OK')	image/webp	etag:%22673fdaa2-2b78%22	https://whatsdetect.org/nf-ggads/assets/back-passo1.webp	C:/Meus%20Sites/whats/whatsdetect.org/nf-ggads/assets/back-passo1.webp	(from https://whatsdetect.org/nf-ggads/analise-pausada.html)
03:23:46	41799/41799	---MCZ	200	added ('OK')	text/html	etag:W/%22673fda9e-a347%22	https://whatsdetect.org/nf-ggads/etapa-2.html	C:/Meus%20Sites/whats/whatsdetect.org/nf-ggads/etapa-2.html	(from https://whatsdetect.org/nf-ggads/analise-pausada.html)
03:23:47	17626/17626	---MCZ	200	added ('OK')	text/css	etag:W/%22673fdaa1-44da%22	https://whatsdetect.org/nf-ggads/assets/eael-135.css	C:/Meus%20Sites/whats/whatsdetect.org/nf-ggads/assets/eael-135.css	(from https://whatsdetect.org/nf-ggads/etapa-2.html)
03:23:47	19416/19416	---MCZ	200	added ('OK')	text/css	etag:W/%22673fdaa3-4bd8%22	https://whatsdetect.org/nf-ggads/assets/post-135.css	C:/Meus%20Sites/whats/whatsdetect.org/nf-ggads/assets/post-135.css	(from https://whatsdetect.org/nf-ggads/etapa-2.html)
03:23:47	83436/83436	---MC-	200	added ('OK')	image/gif	etag:%22673fdaa3-145ec%22	https://whatsdetect.org/nf-ggads/assets/loading.gif	C:/Meus%20Sites/whats/whatsdetect.org/nf-ggads/assets/loading.gif	(from https://whatsdetect.org/nf-ggads/etapa-2.html)
03:23:47	526091/526091	---MCZ	200	added ('OK')	text/html	etag:W/%22675b3e72-8070b%22	https://whatsdetect.org/nf-ggads/concluido.html	C:/Meus%20Sites/whats/whatsdetect.org/nf-ggads/concluido.html	(from https://whatsdetect.org/nf-ggads/etapa-2.html)
03:23:48	10076/10076	---MC-	200	added ('OK')	image/webp	etag:%22673fdaa2-275c%22	https://whatsdetect.org/nf-ggads/assets/ssl-secure-3-1.webp	C:/Meus%20Sites/whats/whatsdetect.org/nf-ggads/assets/ssl-secure-3-1.webp	(from https://whatsdetect.org/nf-ggads/etapa-2.html)
03:23:48	9197/9197	---MCZ	200	added ('OK')	application/javascript	etag:W/%22673fdaa5-23ed%22	https://whatsdetect.org/nf-ggads/assets/general.min.js	C:/Meus%20Sites/whats/whatsdetect.org/nf-ggads/assets/general.min.js	(from https://whatsdetect.org/nf-ggads/etapa-2.html)
03:23:48	44716/44716	---MCZ	200	added ('OK')	application/javascript	etag:W/%22673fdaa5-aeac%22	https://whatsdetect.org/nf-ggads/assets/happy-addons.min.js	C:/Meus%20Sites/whats/whatsdetect.org/nf-ggads/assets/happy-addons.min.js	(from https://whatsdetect.org/nf-ggads/etapa-2.html)
03:23:48	1801/1801	---MCZ	200	added ('OK')	application/javascript	etag:W/%22673fdaa6-709%22	https://whatsdetect.org/nf-ggads/assets/jquery-numerator.min.js	C:/Meus%20Sites/whats/whatsdetect.org/nf-ggads/assets/jquery-numerator.min.js	(from https://whatsdetect.org/nf-ggads/etapa-2.html)
